Time,Temperature,Salinity,Oxygen,PH
2019-10-17 00:00:00,23.667,37.2,200.14,8.024
2019-10-18 00:00:00,23.663,37.186,203.79,8.041
2019-10-19 00:00:00,23.519,37.189,207.74,8.044
2019-10-20 00:00:00,23.385,37.19,198.5,8.031
2019-10-21 00:00:00,23.212,37.18,199.34,8.036
2019-10-21 04:00:00,23.6305,37.195,202.005,8.0325
2019-10-22 00:00:00,22.904,37.058,202.41,8.043
2019-10-22 04:00:00,23.595,37.1905,198.015,8.027
2019-10-23 00:00:00,22.688,36.887,210.91,8.06
2019-10-23 04:00:00,23.4555,37.1905,200.245,8.0335
2019-10-24 00:00:00,22.463,37.034,200.42,8.042
2019-10-24 04:00:00,23.3115,37.191,196.12,8.027
2019-10-24 08:00:00,23.749,37.196,205.08,8.032
2019-10-25 00:00:00,22.152,37.063,206.33,8.047
2019-10-25 04:00:00,23.1425,37.156,202.38,8.0405
2019-10-25 08:00:00,23.6825,37.1965,203.42,8.0335
2019-10-26 00:00:00,22.002,37.107,210.16,8.06
2019-10-26 04:00:00,22.8275,37.031,199.98,8.0435
2019-10-26 08:00:00,23.61,37.1875,205.215,8.043
2019-10-27 00:00:00,22.122,37.125,211.25,8.058
2019-10-27 04:00:00,22.6395,36.935,207.875,8.0565
2019-10-27 08:00:00,23.4645,37.189,203.92,8.0395
2019-10-28 00:00:00,22.209,37.123,211.84,8.057
2019-10-28 04:00:00,22.348,37.026,199.33,8.037
2019-10-28 08:00:00,23.302,37.186,199.485,8.0335
2019-10-29 00:00:00,22.161,37.12,206.31,
2019-10-29 04:00:00,22.091,37.074,206.045,8.048
2019-10-29 08:00:00,23.0775,37.1375,202.2,8.04
2019-10-29 12:00:00,23.582,37.201,196.24,8.021
2019-10-30 00:00:00,22.173,37.115,206.85,
2019-10-30 04:00:00,21.9605,37.11,208.725,8.0585
2019-10-30 08:00:00,22.84,37.087,201.58,8.0465
2019-10-30 12:00:00,23.616,37.187,202.67,8.038
2019-10-31 00:00:00,22.268,37.121,210.5,
2019-10-31 04:00:00,22.078,37.126,207.285,8.052
2019-10-31 08:00:00,22.5815,36.9505,206.19,8.0475
2019-10-31 12:00:00,23.469,37.189,203.6,8.045
2019-11-01 00:00:00,21.934,37.013,211.09,
2019-11-01 04:00:00,22.145,37.1255,205.255,8.067
2019-11-01 08:00:00,22.3105,36.9315,205.01,8.046
2019-11-01 12:00:00,23.317,37.192,195.87,8.028
2019-11-02 00:00:00,21.999,37.036,214.89,
2019-11-02 04:00:00,22.1435,37.113,204.1,
2019-11-02 08:00:00,22.1085,37.0715,210.065,8.059
2019-11-02 12:00:00,23.139,37.173,198.88,8.037
2019-11-02 16:00:00,23.546,37.201,195.34,8.019
2019-11-03 00:00:00,21.939,37.074,206.8,
2019-11-03 04:00:00,22.1195,37.1155,201.945,
2019-11-03 08:00:00,22.065,37.1145,211.4,8.06
2019-11-03 12:00:00,22.831,37.022,198.71,8.036
2019-11-03 16:00:00,23.589,37.188,202.97,8.039
2019-11-04 00:00:00,21.59,37.08,212.59,
2019-11-04 04:00:00,22.1975,37.1065,210.365,
2019-11-04 08:00:00,22.199,37.1245,212.125,8.063
2019-11-04 12:00:00,22.577,36.82,210.06,8.057
2019-11-04 16:00:00,23.457,37.189,202.87,8.02
2019-11-05 00:00:00,21.324,37.09,211.27,
2019-11-05 04:00:00,21.8925,37.0135,210.055,
2019-11-05 08:00:00,22.198,37.122,206.96,
2019-11-05 12:00:00,22.358,37.012,199.77,8.038
2019-11-05 16:00:00,23.307,37.19,195.31,8.028
2019-11-06 00:00:00,20.51,37.043,214.68,
2019-11-06 04:00:00,21.9775,37.05,209.61,
2019-11-06 08:00:00,22.186,37.1155,209.55,
2019-11-06 12:00:00,22.083,36.744,206.38,8.048
2019-11-06 16:00:00,23.11,37.174,195.96,8.031
2019-11-06 20:00:00,23.516,37.2,199.15,8.028
2019-11-07 00:00:00,20.168,37.006,217.84,
2019-11-07 04:00:00,21.8575,37.0745,209.86,
2019-11-07 08:00:00,22.2355,37.1195,210.305,
2019-11-07 12:00:00,21.936,37.108,208.08,8.058
2019-11-07 16:00:00,22.81,37.009,199.05,8.041
2019-11-07 20:00:00,23.553,37.189,203.1,8.038
2019-11-08 00:00:00,20.265,37.145,217.05,
2019-11-08 04:00:00,21.516,37.084,212.68,
2019-11-08 08:00:00,22.112,37.064,211.425,
2019-11-08 12:00:00,22.065,37.125,207.55,8.056
2019-11-08 16:00:00,22.734,37.01,191.56,8.043
2019-11-08 20:00:00,23.442,37.189,198.45,8.033
2019-11-09 00:00:00,19.855,37.139,221.52,
2019-11-09 04:00:00,21.115,37.09,214.785,
2019-11-09 08:00:00,21.9655,37.0235,212.69,
2019-11-09 12:00:00,22.147,37.124,208.28,
2019-11-09 16:00:00,22.335,37.01,199.64,8.04
2019-11-09 20:00:00,23.275,37.192,192.71,8.024
2019-11-10 00:00:00,19.451,37.167,221.97,
2019-11-10 04:00:00,20.4585,36.791,217.18,
2019-11-10 08:00:00,22.0045,37.0635,213.165,
2019-11-10 12:00:00,22.139,37.119,207.28,
2019-11-10 16:00:00,22.082,37.081,206.38,8.05
2019-11-10 20:00:00,23.085,37.159,201.28,8.04
2019-11-11 00:00:00,21.449,37.1975,211.83,8.037
2019-11-11 04:00:00,20.3105,37.1035,219.09,
2019-11-11 08:00:00,21.703,37.0815,209.72,
2019-11-11 12:00:00,22.135,37.117,205.31,
2019-11-11 16:00:00,21.933,37.109,208.75,8.06
2019-11-11 20:00:00,22.827,37.024,198.42,8.04
2019-11-12 00:00:00,21.3665,37.225,210.57,8.036
2019-11-12 04:00:00,20.1125,37.1445,216.555,
2019-11-12 08:00:00,21.474,37.0865,211.635,
2019-11-12 12:00:00,22.213,37.122,208.87,
2019-11-12 16:00:00,22.04,37.126,206.09,8.055
2019-11-12 20:00:00,22.673,36.99,209,8.054
2019-11-13 00:00:00,21.348,37.254,208.465,8.031
2019-11-13 04:00:00,19.6465,37.151,224.41,
2019-11-13 08:00:00,20.9605,37.093,214.165,
2019-11-13 12:00:00,21.869,37.012,211.43,
2019-11-13 16:00:00,22.132,37.123,206.42,
2019-11-13 20:00:00,22.322,37.017,197.9,8.036
2019-11-14 00:00:00,21.161,37.201,203.315,8.022
2019-11-14 04:00:00,19.4925,37.1695,222.545,
2019-11-14 08:00:00,20.366,37.0345,217.895,
2019-11-14 12:00:00,21.993,37.049,211.32,
2019-11-14 16:00:00,22.133,37.118,207.95,
2019-11-14 20:00:00,22.043,37.078,206.06,8.053
2019-11-15 00:00:00,21.111,37.257,210.075,8.045
2019-11-15 04:00:00,20.676,37.202,216.86,8.038
2019-11-15 08:00:00,20.322,37.137,218.625,
2019-11-15 12:00:00,21.885,37.071,206.43,
2019-11-15 16:00:00,22.124,37.117,204.77,
2019-11-15 20:00:00,21.928,37.109,208.38,8.058
2019-11-16 00:00:00,20.856,37.171,208.935,8.039
2019-11-16 04:00:00,20.6526666666667,37.2413333333333,213.056666666667,8.032
2019-11-16 08:00:00,20.0565,37.15,218.305,
2019-11-16 12:00:00,21.537,37.084,209.6,
2019-11-16 16:00:00,22.217,37.122,207.63,
2019-11-16 20:00:00,22.035,37.125,205.25,8.053
2019-11-17 00:00:00,20.6275,37.163,214.955,8.057
2019-11-17 04:00:00,20.6863333333333,37.2686666666667,210.786666666667,8.026
2019-11-17 08:00:00,19.599,37.1565,222.185,
2019-11-17 12:00:00,21.276,37.094,211.53,
2019-11-17 16:00:00,21.858,37.012,210.48,
2019-11-17 20:00:00,22.115,37.122,206.45,
2019-11-18 00:00:00,20.344,37.1605,209.01,8.032
2019-11-18 04:00:00,20.4573333333333,37.222,205.39,8.022
2019-11-18 08:00:00,19.394,37.1845,220.925,
2019-11-18 12:00:00,20.515,36.887,216.36,
2019-11-18 16:00:00,21.985,37.054,209.31,
2019-11-18 20:00:00,22.119,37.119,205.08,
2019-11-19 00:00:00,20.1035,37.187,214.415,8.051
2019-11-19 04:00:00,20.333,37.2753333333333,214.573333333333,8.046
2019-11-19 08:00:00,20.672,37.2106666666667,215.43,8.04
2019-11-19 12:00:00,20.305,37.122,218.17,
2019-11-19 16:00:00,21.867,37.072,205.42,
2019-11-19 20:00:00,22.106,37.118,203.77,
2019-11-20 00:00:00,20.0705,37.188,214.87,8.056
2019-11-20 04:00:00,20.1783333333333,37.1963333333333,212.793333333333,8.039
2019-11-20 08:00:00,20.7293333333333,37.259,209.966666666667,8.018
2019-11-20 12:00:00,20.159,37.15,217.14,
2019-11-20 16:00:00,21.5,37.083,210.32,
2019-11-20 20:00:00,22.205,37.122,202.5,
2019-11-21 00:00:00,20.075,37.195,212.515,8.053
2019-11-21 04:00:00,19.8533333333333,37.2066666666667,217.83,8.055
2019-11-21 08:00:00,20.6473333333333,37.238,210.823333333333,8.028
2019-11-21 12:00:00,19.663,37.15,222.56,
2019-11-21 16:00:00,21.247,37.095,211.62,
2019-11-21 20:00:00,21.816,37.013,209.59,
2019-11-22 00:00:00,20.082,37.1875,214.335,
2019-11-22 04:00:00,19.6683333333333,37.2066666666667,213.08,8.024
