target,d_model,nhead,num_encoder_layers,dim_feedforward,r2,mse,rmse,mae,pcc,nrmse,,
Oxygen,64,8,8,128,0.2715,937.8927,30.625,23.1468,0.5395,0.1542,,
Oxygen,64,8,8,128,0.2795,927.5378,30.4555,22.6962,0.5388,0.1534,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,,
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.147,,
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.147,,
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.147,,
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.147,,
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.147,cabrera_all,testset1
Oxygen,64,8,8,128,0.3044,0.1795,0.4237,0.3374,0.6193,0.1545,daniel,testset2
Oxygen,64,8,8,128,0.2599,0.0241,0.1553,0.1107,0.5341,0.159,trainset,
Oxygen,64,8,8,128,0.285,0.0238,0.1544,0.1348,0.5821,0.1626,testset,
Oxygen,64,8,8,128,0.598,129.2396,11.3684,9.6285,0.9072,0.1573,cabrera,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,, ,,,,,,
