target,d_model,nhead,num_enc_layers,dim_ff,r2,mse,rmse,mae,pcc,nrmse,batchsize,dropout,learn rate,max_len,,
PH,32,8,6,32,0.7427,0.001,0.0312,0.0232,0.8892,0.1281,16,,,,Cabrera,
PH,32,8,6,32,0.7506,0.0008,0.0277,0.0233,0.92,0.1332,16,,,,PALMA,
PH,32,8,6,32,0.7858,0.0155,0.1245,0.0948,0.9074,0.1247,16,,,,TRAIN,
PH,32,8,6,32,0.7044,0.0176,0.1328,0.1052,0.9179,0.153,16,,,,TEST,
PH,32,2,2,32,0.7747,0.0134,0.1159,0.0922,0.9336,0.1335,16,,,,,
PH,32,2,2,32,0.6283,0.0011,0.0338,0.0286,0.9219,0.1626,16,,,,PALMA,
PH,32,4,2,32,0.6508,0.0011,0.0328,0.0278,0.922,0.1576,16,,,,,
PH,32,8,2,32,0.6554,0.0011,0.0326,0.0272,0.9224,0.1566,16,,,,,
PH,32,2,4,32,0.6977,0.0009,0.0305,0.0259,0.9198,0.1467,16,,,,,
PH,32,4,4,32,0.7225,0.0009,0.0292,0.0248,0.9206,0.1405,16,,,,,
PH,32,4,6,32,0.7474,0.0008,0.0279,0.0233,0.9218,0.1341,16,,,,,
PH,32,8,6,32,0.7602,0.0007,0.0272,0.0226,0.9201,0.1306,16,,,,,
PH,32,8,8,32,0.7248,0.0008,0.0291,0.025,0.9226,0.14,16,,,,,
PH,32,8,10,32,0.6425,0.0011,0.0332,0.0288,0.9232,0.1595,16,,,,,
PH,32,8,10,32,0.6858,0.001,0.0311,0.0269,0.9218,0.1495,4,,,,,
PH,32,8,8,32,0.7064,0.0009,0.0301,0.0257,0.9228,0.1445,4,,,,,
PH,32,8,6,32,0.7506,0.0008,0.0277,0.0233,0.92,0.1332,4,,,,,
PH,32,8,6,32,0.7714,0.0007,0.0265,0.022,0.9202,0.1276,2,,,,,
PH,32,8,6,32,0.7655,0.0007,0.0269,0.0224,0.92,0.1292,8,,,,,
PH,32,8,12,32,0.6818,0.001,0.0313,0.0269,0.9231,0.1505,,,,,,
PH,32,8,6,32,0.7714,0.0007,0.0265,0.022,0.9202,0.1276,,,,,,
PH,32,8,6,32,0.7231,0.0165,0.1285,0.1009,0.9231,0.1481,,,,,valset,
PH,32,8,6,32,0.8057,0.0141,0.1186,0.0845,0.9118,0.1188,,,,,trainset,
PH,32,8,6,32,0.7252,0.001,0.0323,0.0245,0.8817,0.1324,,,,,testset1,
PH,32,8,6,32,0.3021,0.0042,0.0651,0.0504,0.6186,0.1705,,,,,testset2,
Oxygen,64,8,8,128,0.2913,912.3764,30.2056,23.4141,0.5401,0.1521,,,,,,
Oxygen,64,8,8,128,0.2913,912.3764,30.2056,23.4141,0.5401,0.1521,,,,,,
Oxygen,64,8,8,128,0.2715,937.8927,30.625,23.1468,0.5395,0.1542,,,,,,
Oxygen,64,8,8,128,0.2715,937.8927,30.625,23.1468,0.5395,0.1542,,,,,,
PH,32,8,6,32,0.6715,0.001,0.0318,0.0265,0.9143,0.1529,,,,,,
PH,32,8,6,32,0.4096,0.0018,0.0426,0.0373,0.9112,0.205,,,,,,
PH,32,8,6,32,0.7137,0.0009,0.0297,0.0245,0.9126,0.1427,,,,,,
Oxygen,64,8,8,128,0.285,0.0238,0.1544,0.1348,0.5821,0.1626,,,,,,
Oxygen,64,8,8,128,0.2795,927.5378,30.4555,22.6962,0.5388,0.1534,,,,,,
Oxygen,64,8,8,128,0.2795,927.5378,30.4555,22.6962,0.5388,0.1534,,,,,,
PH,64,8,8,128,0.6433,0.0011,0.0331,0.0275,0.9223,0.1593,,,,,,
PH,64,8,8,128,0.6433,0.0011,0.0331,0.0275,0.9223,0.1593,,,,,,
PH,64,8,8,128,0.57,0.0016,0.0403,0.0297,0.7873,0.1652,,,,,,
PH,64,8,8,128,0.57,0.0016,0.0403,0.0297,0.7873,0.1652,,,,,,
PH,32,8,6,32,0.5775,0.0016,0.0399,0.0272,0.8033,0.1638,,,,,cabrera_all,
PH,32,8,6,32,0.7554,0.0009,0.0304,0.0216,0.8818,0.1249,,,,,cabrera,testset1
PH,32,8,6,32,0.7531,0.0147,0.1214,0.0964,0.9234,0.1398,,,,,TESTSET,
PH,32,8,6,32,0.8044,0.0142,0.119,0.0873,0.9064,0.1191,,,,,TRAINSET,
PH,32,8,6,32,0.3286,0.0041,0.0639,0.0498,0.6115,0.1673,,,,,Daniel,testset2
,,,,,r2,mse,rmse,mae,pcc,nrmse,,,,,,
