target,d_model,nhead,num_encoder_layers,dim_feedforward,r2,mse,rmse,mae,pcc,nrmse
PH,32,8,6,32,0.5775,0.0016,0.0399,0.0272,0.8033,0.1638
Oxygen,64,8,8,64,0.7973,58.2719,7.6336,6.3636,0.9011,0.1056
Oxygen,64,8,8,64,0.7973,58.2719,7.6336,6.3636,0.9011,0.1056
Oxygen,32,8,8,32,0.7978,58.1466,7.6254,6.4042,0.9027,0.1055
Oxygen,32,8,7,32,-0.036,1333.7409,36.5204,27.0964,0.5373,0.1839
Oxygen,32,8,8,32,0.0227,1258.1851,35.4709,26.3794,0.5397,0.1786
Oxygen,64,8,8,64,-0.0935,1407.8482,37.5213,27.6984,0.5388,0.189
Oxygen,64,8,8,64,0.2793,927.8638,30.4609,22.7152,0.5383,0.1534
Oxygen,64,8,9,64,0.2719,937.4279,30.6174,23.2340,0.5392,0.1542
Oxygen,64,8,9,128,0.2836,922.3126,30.3696,23.1431,0.5397,0.1529
Oxygen,64,8,9,128,0.2688,0.0238,0.1543,0.1122,0.5352,0.1580
Oxygen,64,8,9,128,0.2702,0.0243,0.1560,0.1374,0.5827,0.1643
Oxygen,64,8,9,128,0.5856,133.2302,11.5425,9.7551,0.9074,0.1597
Oxygen,64,8,9,128,0.6029,114.1640,10.6848,9.0066,0.8978,0.1479
Oxygen,64,8,9,128,0.6029,114.1640,10.6848,9.0066,0.8978,0.1479
Oxygen,64,8,9,128,0.2836,922.3126,30.3696,23.1431,0.5397,0.1529
Oxygen,64,8,9,128,0.6029,114.1640,10.6848,9.0066,0.8978,0.1479
Oxygen,32,8,9,64,0.4780,150.0774,12.2506,10.6549,0.9024,0.1695
Oxygen,32,8,7,64,0.5500,129.3865,11.3748,9.8418,0.9023,0.1574
Oxygen,32,8,7,32,0.5446,130.9238,11.4422,9.8615,0.9028,0.1584
Oxygen,32,8,7,64,0.5500,129.3865,11.3748,9.8418,0.9023,0.1574
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.1470
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.1470
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.1470
Oxygen,64,8,8,128,0.6074,112.8809,10.6245,8.9929,0.8969,0.1470
Oxygen,64,8,8,128,0.7188,83.3567,9.1300,7.5394,0.9088,0.1184
Oxygen,64,8,8,128,0.3489,0.1681,0.4100,0.3126,0.6193,0.1495
Oxygen,64,8,8,128,0.6806,0.0097,0.0983,0.0636,0.8351,0.0983
Oxygen,64,8,8,128,0.6284,0.0120,0.1095,0.0766,0.8303,0.1242
