Index,Timestamp,CPU_Usage(%),RAM_Usage(MB),CPU_Temp(C),T_oxy,Predicted_DO,T_pH,Predicted_pH
1,2025-06-19 14:58:56,15.0,232.47,49.6,11.51,222.547,1.27,8.025
2,2025-06-19 14:59:06,17.1,206.72,49.6,1.72,222.287,1.02,8.024
3,2025-06-19 14:59:17,17.1,206.72,51.25,1.66,221.643,0.99,8.019
4,2025-06-19 15:00:00,15.0,205.09,49.6,1.78,220.182,1.02,8.009
5,2025-06-19 15:00:11,17.1,205.05,50.7,1.60,219.866,0.99,8.007
6,2025-06-19 15:00:21,17.1,205.03,50.15,1.52,219.778,0.97,8.007
7,2025-06-19 15:00:31,35.9,205.06,49.05,3.15,220.265,2.00,8.010
8,2025-06-19 15:00:41,37.5,205.05,47.4,3.18,219.087,2.01,8.002
9,2025-06-19 15:00:51,37.5,205.03,47.4,3.16,218.255,2.02,7.995
10,2025-06-19 15:01:01,37.5,204.95,46.3,3.12,218.844,2.03,8.000
11,2025-06-19 15:01:11,37.5,204.94,46.85,3.11,218.424,2.09,7.997
12,2025-06-19 15:01:22,37.5,204.80,46.85,3.23,217.611,2.09,7.991
13,2025-06-19 15:01:32,35.9,204.64,45.75,3.10,217.038,2.04,7.986
14,2025-06-19 15:01:42,37.5,204.50,46.3,3.14,217.125,2.05,7.987
15,2025-06-19 15:01:52,34.2,204.48,45.75,3.10,216.805,1.98,7.984
16,2025-06-19 15:02:02,39.0,204.47,45.75,3.09,217.095,1.99,7.986
17,2025-06-19 15:02:12,36.6,203.75,44.65,3.30,217.578,2.04,7.990
18,2025-06-19 15:02:23,36.6,206.98,45.75,3.33,218.213,2.03,7.995
19,2025-06-19 15:02:33,40.5,206.95,45.75,3.26,218.378,2.04,7.996
20,2025-06-19 15:02:43,37.5,206.94,44.65,3.28,218.190,2.02,7.995
21,2025-06-19 15:02:53,37.5,206.92,44.65,3.24,218.301,2.04,7.996
22,2025-06-19 15:03:03,37.5,207.11,44.65,3.26,218.159,2.04,7.995
23,2025-06-19 15:03:13,37.5,207.09,45.2,3.22,217.825,2.05,7.992
24,2025-06-19 15:03:23,45.0,207.08,46.85,3.27,217.568,2.02,7.990
25,2025-06-19 15:03:33,37.5,207.94,44.65,3.35,217.233,2.13,7.988
26,2025-06-19 15:03:43,35.9,209.06,45.75,3.35,216.762,2.11,7.984
27,2025-06-19 15:03:53,37.5,209.95,45.75,3.41,216.762,2.11,7.984
28,2025-06-19 15:04:04,36.6,209.94,44.65,3.20,217.138,2.07,7.987
29,2025-06-19 15:04:14,35.9,213.42,44.1,3.36,217.274,2.12,7.988
