Index,Timestamp,CPU_Usage(%),RAM_Usage(MB),CPU_Temp(C),T_oxy,Oxygen,T_pH,PH
1,2025-06-19 13:59:17,0,369.16,49.6,153.68,222.547,6.28,8.025
2,2025-06-19 13:59:28,0,367.41,49.05,8.88,222.287,5.66,8.024
3,2025-06-19 13:59:38,0,367.38,49.05,8.91,221.643,5.66,8.019
4,2025-06-19 13:59:48,0,366.91,49.6,9.05,220.182,5.69,8.009
5,2025-06-19 13:59:58,0,366.78,50.7,8.81,219.866,5.67,8.007
6,2025-06-19 14:00:07,0,366.75,48.5,20.74,219.778,13.66,8.007
7,2025-06-19 14:00:17,0,366.73,47.4,20.62,220.265,13.57,8.01
8,2025-06-19 14:00:27,4.8,366.72,44.65,20.65,219.087,13.6,8.002
9,2025-06-19 14:00:37,0,366.69,46.3,20.62,218.255,13.64,7.995
10,2025-06-19 14:00:47,0,366.55,44.65,20.71,218.844,13.65,8
11,2025-06-19 14:00:58,0,366.73,43.55,20.68,218.424,13.6,7.997
12,2025-06-19 14:01:08,0,366.72,44.1,20.62,217.611,13.57,7.991
13,2025-06-19 14:01:18,0,366.92,43,20.71,217.038,13.67,7.986
14,2025-06-19 14:01:28,0,367.09,43.55,20.63,217.125,13.5,7.987
15,2025-06-19 14:01:38,0,367.08,41.9,20.59,216.805,13.59,7.984
16,2025-06-19 14:01:48,4.9,367.3,41.9,29.61,217.095,23.02,7.986
17,2025-06-19 14:01:58,0,367.28,43,21.27,217.578,13.67,7.99
18,2025-06-19 14:02:08,0,367.47,41.9,20.67,218.213,13.68,7.995
19,2025-06-19 14:02:19,0,367.22,41.9,20.74,218.378,13.62,7.996
20,2025-06-19 14:02:29,0,367.42,43,20.53,218.19,13.51,7.995
21,2025-06-19 14:02:39,0,367.28,41.35,20.65,218.301,13.65,7.996
22,2025-06-19 14:02:49,0,367.14,43,20.58,218.159,13.65,7.995
23,2025-06-19 14:02:59,0,367.34,42.45,20.45,217.825,13.62,7.992
24,2025-06-19 14:03:09,0,367,42.45,20.58,217.568,13.62,7.99
25,2025-06-19 14:03:19,0,367.19,41.35,20.55,217.233,13.61,7.988
26,2025-06-19 14:03:30,0,366.94,40.8,20.64,216.762,13.64,7.984
27,2025-06-19 14:03:40,0,367.14,40.8,20.79,216.762,13.7,7.984
28,2025-06-19 14:03:50,0,367.12,41.9,20.63,217.138,13.53,7.987
29,2025-06-19 14:04:00,0,367.27,40.25,20.56,217.274,13.65,7.988
30,2025-06-19 14:04:10,0,367.47,41.9,20.73,217.077,13.61,7.986
31,2025-06-19 14:04:20,0,367.36,40.8,20.64,216.284,13.56,7.98
32,2025-06-19 14:04:30,0,367.33,40.25,20.45,216.269,13.58,7.979
33,2025-06-19 14:04:41,0,367.55,40.25,20.59,216.511,13.67,7.982
34,2025-06-19 14:04:51,0,367.77,40.8,20.54,216.469,13.63,7.981
35,2025-06-19 14:05:01,0,367.62,40.8,20.59,216.381,13.74,7.98
36,2025-06-19 14:05:11,0,367.84,41.35,20.58,216.179,13.71,7.979
37,2025-06-19 14:05:21,0,367.83,40.25,20.54,216.046,13.61,7.978
38,2025-06-19 14:05:31,0,368.05,40.25,20.59,215.824,13.61,7.976
39,2025-06-19 14:05:41,0,368.02,41.35,20.53,215.113,13.56,7.97
40,2025-06-19 14:05:52,0,368.16,40.25,20.46,214.463,13.59,7.964
41,2025-06-19 14:06:02,0,368.11,41.35,20.65,nan,13.61,nan
42,2025-06-19 14:06:12,0,368.09,40.25,20.55,nan,13.59,nan
43,2025-06-19 14:06:22,0,367.95,40.25,20.58,nan,13.74,nan
44,2025-06-19 14:06:32,0,367.94,40.25,20.52,nan,13.49,nan
45,2025-06-19 14:06:42,0,367.92,40.8,20.61,nan,13.59,nan
46,2025-06-19 14:06:52,0,367.89,41.35,20.64,nan,13.6,nan
47,2025-06-19 14:07:02,0,368.05,42.45,20.65,nan,13.63,nan
48,2025-06-19 14:07:13,0,368.03,41.35,20.71,nan,13.67,nan
49,2025-06-19 14:07:23,0,367.89,40.25,20.61,nan,13.61,nan
50,2025-06-19 14:07:33,7.7,367.88,40.25,20.49,nan,13.61,nan
51,2025-06-19 14:07:43,0,367.86,40.25,20.42,nan,13.59,nan
52,2025-06-19 14:07:53,0,367.75,39.7,20.62,nan,13.57,nan
53,2025-06-19 14:08:03,0,367.72,40.25,20.68,nan,13.64,nan
54,2025-06-19 14:08:13,0,367.7,40.25,20.6,nan,13.53,nan
55,2025-06-19 14:08:24,0,367.69,41.35,20.53,nan,13.61,nan
56,2025-06-19 14:08:34,0,367.66,40.8,20.59,nan,13.6,nan
57,2025-06-19 14:08:44,0,367.62,40.25,20.55,nan,13.58,nan
58,2025-06-19 14:08:54,0,367.61,41.35,20.56,nan,13.65,nan
59,2025-06-19 14:09:04,0,367.59,41.9,20.57,nan,13.73,nan
60,2025-06-19 14:09:14,0,367.56,41.35,20.65,nan,13.56,nan
61,2025-06-19 14:09:24,4.8,367.47,40.8,20.55,nan,13.63,nan
62,2025-06-19 14:09:35,0,367.2,40.8,20.58,nan,13.67,nan
63,2025-06-19 14:09:45,0,367.19,41.9,20.68,nan,13.66,nan
64,2025-06-19 14:09:55,2.4,367.17,40.25,20.64,nan,13.61,nan
65,2025-06-19 14:10:05,0,367.16,40.25,20.46,nan,13.71,nan
66,2025-06-19 14:10:15,0,367,40.25,20.55,nan,13.71,nan
67,2025-06-19 14:10:25,0,366.98,41.9,20.63,nan,13.59,nan
68,2025-06-19 14:10:35,0,366.97,40.25,20.67,nan,13.68,nan
69,2025-06-19 14:10:45,0,366.95,41.35,20.59,nan,13.69,nan
70,2025-06-19 14:10:56,0,366.92,41.35,20.53,nan,13.65,nan
71,2025-06-19 14:11:06,4.8,366.91,41.9,20.54,nan,13.51,nan
72,2025-06-19 14:11:16,0,366.89,40.25,20.72,215.632,13.64,7.974
73,2025-06-19 14:11:26,0,366.86,41.35,20.56,216,13.58,7.977
74,2025-06-19 14:11:36,0,366.84,40.25,20.55,216.136,13.58,7.978
75,2025-06-19 14:11:46,2.4,366.83,40.8,20.55,216.095,13.58,7.978
76,2025-06-19 14:11:56,0,366.8,40.25,20.57,216.288,13.57,7.98
77,2025-06-19 14:12:07,0,366.69,40.25,20.55,216.773,13.64,7.984
78,2025-06-19 14:12:17,0,366.67,40.8,20.65,216.474,13.62,7.981
79,2025-06-19 14:12:27,2.4,366.64,41.9,20.63,216.136,13.59,7.978
80,2025-06-19 14:12:37,0,366.61,41.35,20.55,216.29,13.64,7.98
81,2025-06-19 14:12:47,0,366.58,40.25,20.6,216.213,13.62,7.979
82,2025-06-19 14:12:57,0,366.56,40.25,20.56,216.283,13.58,7.98
83,2025-06-19 14:13:07,2.4,366.53,40.8,20.57,216.32,13.54,7.98
84,2025-06-19 14:13:18,0,366.52,40.8,20.68,216.445,13.6,7.981
85,2025-06-19 14:13:28,0,366.48,42.45,20.64,216.464,13.61,7.981
86,2025-06-19 14:13:38,0,366.47,41.9,20.67,216.263,13.59,7.979
87,2025-06-19 14:13:48,4.8,366.45,41.35,20.55,216.433,13.61,7.981
88,2025-06-19 14:13:58,0,366.42,40.8,20.72,216.329,13.63,7.98
89,2025-06-19 14:14:08,0,366.41,40.25,20.64,216.342,13.65,7.98
90,2025-06-19 14:14:18,0,366.11,41.9,20.75,216.509,13.57,7.982
91,2025-06-19 14:14:28,4.8,366.08,40.8,24.06,216.655,13.71,7.983
92,2025-06-19 14:14:39,0,366.06,41.35,20.61,216.657,13.66,7.983
93,2025-06-19 14:14:49,0,366.28,40.8,20.78,216.597,13.57,7.982
94,2025-06-19 14:14:59,0,365.98,42.45,20.55,217.696,13.6,7.991
95,2025-06-19 14:15:09,4.8,365.97,42.45,20.54,219.4,13.57,8.004
96,2025-06-19 14:15:19,0,365.95,41.9,20.53,220.365,13.57,8.011
